timestamp,market_zone,price_eur_mwh,market_type,volume_mwh
2024-01-08 00:00:00,SE1,33.96,day_ahead,267.09
2024-01-08 00:00:00,DK2,51.23,intraday,2921.58
2024-01-08 01:00:00,SE1,50.52,intraday,4373.19
2024-01-08 01:00:00,SE4,16.35,intraday,3014.2
2024-01-08 02:00:00,SE1,35.56,intraday,1863.8
2024-01-08 02:00:00,DK2,45.95,day_ahead,2888.82
2024-01-08 03:00:00,NO2,49.76,day_ahead,3516.24
2024-01-08 03:00:00,DK2,26.24,day_ahead,1343.84
2024-01-08 03:00:00,FI,30.76,intraday,3629.78
2024-01-08 04:00:00,SE2,22.34,intraday,3107.58
2024-01-08 04:00:00,SE4,39.58,day_ahead,3314.75
2024-01-08 04:00:00,FI,32.73,intraday,877.61
2024-01-08 05:00:00,NO1,38.45,day_ahead,396.12
2024-01-08 05:00:00,FI,53.55,intraday,4884.78
2024-01-08 05:00:00,SE3,19.3,day_ahead,3462.4
2024-01-08 06:00:00,NO2,40.04,day_ahead,1158.05
2024-01-08 06:00:00,SE3,53.67,intraday,4354.03
2024-01-08 07:00:00,NO2,64.32,intraday,2004.25
2024-01-08 07:00:00,DK2,55.56,day_ahead,1238.23
2024-01-08 07:00:00,NO1,60.43,day_ahead,368.55
2024-01-08 08:00:00,DK1,68.11,intraday,4811.96
2024-01-08 08:00:00,SE4,61.5,day_ahead,4949.33
2024-01-08 08:00:00,SE4,68.54,day_ahead,3767.4
2024-01-08 09:00:00,DK2,31.44,day_ahead,827.24
2024-01-08 09:00:00,NO2,35.99,day_ahead,195.74
2024-01-08 09:00:00,NO1,47.13,day_ahead,3734.43
2024-01-08 10:00:00,DK2,32.2,day_ahead,1620.41
2024-01-08 10:00:00,SE3,33.5,intraday,4799.63
2024-01-08 10:00:00,DK2,67.24,intraday,638.79
2024-01-08 11:00:00,SE3,54.32,intraday,3009.47
2024-01-08 11:00:00,NO1,61.53,intraday,2928.62
2024-01-08 12:00:00,NO1,36.3,intraday,3546.93
2024-01-08 12:00:00,SE4,52.56,intraday,4022.67
2024-01-08 13:00:00,SE1,33.39,intraday,4139.24
2024-01-08 13:00:00,SE3,40.86,intraday,1202.02
2024-01-08 14:00:00,SE1,37.79,day_ahead,4419.95
2024-01-08 14:00:00,NO1,38.87,intraday,1310.87
2024-01-08 14:00:00,SE3,67.44,intraday,1241.87
2024-01-08 15:00:00,DK2,36.78,day_ahead,660.96
2024-01-08 15:00:00,SE1,38.4,intraday,2885.08
2024-01-08 16:00:00,DK1,66.59,day_ahead,448.24
2024-01-08 16:00:00,NO1,55.17,intraday,185.73
2024-01-08 16:00:00,NO2,43.24,day_ahead,4805.92
2024-01-08 17:00:00,SE4,30.61,day_ahead,120.45
2024-01-08 17:00:00,DK2,34.38,day_ahead,4226.29
2024-01-08 17:00:00,SE4,33.35,intraday,3551.54
2024-01-08 18:00:00,DK1,46.58,intraday,796.57
2024-01-08 18:00:00,SE1,61.44,intraday,4800.33
2024-01-08 19:00:00,NO2,44.71,day_ahead,1405.96
2024-01-08 19:00:00,DK2,34.51,day_ahead,2465.06
2024-01-08 20:00:00,SE1,61.58,intraday,2278.01
2024-01-08 20:00:00,SE2,49.48,intraday,2589.23
2024-01-08 20:00:00,NO2,48.38,day_ahead,211.78
2024-01-08 21:00:00,DK2,59.56,intraday,2471.21
2024-01-08 21:00:00,FI,63.57,day_ahead,444.58
2024-01-08 22:00:00,NO1,49.76,day_ahead,581.46
2024-01-08 22:00:00,NO1,35.6,day_ahead,104.95
2024-01-08 22:00:00,NO2,49.59,intraday,1376.92
2024-01-08 23:00:00,SE4,24.46,day_ahead,1888.55
2024-01-08 23:00:00,SE1,39.5,intraday,1923.18
2024-01-08 23:00:00,SE1,43.04,day_ahead,2595.5
