timestamp,market_zone,price_eur_mwh,market_type,volume_mwh
2024-01-04 00:00:00,DK2,39.85,intraday,413.25
2024-01-04 00:00:00,SE1,20.92,intraday,2245.99
2024-01-04 00:00:00,NO1,16.78,day_ahead,2365.15
2024-01-04 01:00:00,DK2,31.01,intraday,1525.93
2024-01-04 01:00:00,SE4,25.43,day_ahead,286.01
2024-01-04 01:00:00,SE2,33.23,intraday,4684.14
2024-01-04 02:00:00,FI,18.95,intraday,1549.5
2024-01-04 02:00:00,SE3,28.12,day_ahead,4526.02
2024-01-04 03:00:00,DK1,20.41,day_ahead,1073.2
2024-01-04 03:00:00,NO2,28.81,day_ahead,4960.44
2024-01-04 04:00:00,FI,54.62,day_ahead,477.59
2024-01-04 04:00:00,SE2,29.02,intraday,3452.16
2024-01-04 04:00:00,SE1,17.31,intraday,3486.85
2024-01-04 05:00:00,NO2,27.17,intraday,3125.06
2024-01-04 05:00:00,FI,41.75,day_ahead,3426.55
2024-01-04 06:00:00,SE4,41.06,day_ahead,3025.33
2024-01-04 06:00:00,NO1,52.57,intraday,1751.26
2024-01-04 06:00:00,SE1,49.01,day_ahead,2967.85
2024-01-04 07:00:00,SE1,46.83,intraday,2123.79
2024-01-04 07:00:00,SE4,32.75,day_ahead,4531.25
2024-01-04 07:00:00,SE3,57.93,intraday,140.63
2024-01-04 08:00:00,FI,67.51,day_ahead,690.66
2024-01-04 08:00:00,SE1,65.58,day_ahead,4020.49
2024-01-04 08:00:00,SE1,53.06,intraday,3270.16
2024-01-04 09:00:00,NO2,36.24,intraday,2924.43
2024-01-04 09:00:00,SE2,35.34,intraday,3303.21
2024-01-04 09:00:00,FI,42.89,day_ahead,2065.6
2024-01-04 10:00:00,SE3,45.41,day_ahead,2525.08
2024-01-04 10:00:00,SE2,55.89,intraday,1359.05
2024-01-04 11:00:00,DK1,63.71,intraday,1214.63
2024-01-04 11:00:00,NO1,38.2,intraday,4968.91
2024-01-04 11:00:00,FI,54.78,day_ahead,1186.19
2024-01-04 12:00:00,SE1,66.45,day_ahead,2359.53
2024-01-04 12:00:00,NO2,31.62,day_ahead,1243.22
2024-01-04 13:00:00,NO1,42.36,intraday,2162.54
2024-01-04 13:00:00,NO2,66.05,day_ahead,643.61
2024-01-04 13:00:00,SE3,59.21,intraday,544.9
2024-01-04 14:00:00,SE1,34.2,day_ahead,375.74
2024-01-04 14:00:00,DK1,34.4,day_ahead,1365.1
2024-01-04 14:00:00,SE3,52.85,intraday,3700.0
2024-01-04 15:00:00,NO1,63.56,intraday,1943.37
2024-01-04 15:00:00,SE4,42.16,intraday,3136.14
2024-01-04 16:00:00,SE2,36.44,intraday,3184.88
2024-01-04 16:00:00,SE4,56.09,intraday,4834.59
2024-01-04 16:00:00,NO1,46.98,day_ahead,2480.46
2024-01-04 17:00:00,SE4,30.5,day_ahead,3771.43
2024-01-04 17:00:00,NO2,59.0,day_ahead,853.14
2024-01-04 18:00:00,SE2,40.69,intraday,179.12
2024-01-04 18:00:00,NO2,51.69,intraday,3672.38
2024-01-04 19:00:00,SE1,66.35,day_ahead,976.87
2024-01-04 19:00:00,SE2,48.44,intraday,3073.66
2024-01-04 20:00:00,NO2,67.77,day_ahead,4024.29
2024-01-04 20:00:00,SE2,34.72,day_ahead,509.52
2024-01-04 20:00:00,SE2,49.91,day_ahead,4492.18
2024-01-04 21:00:00,SE3,60.31,intraday,2956.49
2024-01-04 21:00:00,SE2,32.99,intraday,2387.36
2024-01-04 22:00:00,DK2,46.89,intraday,1498.29
2024-01-04 22:00:00,SE4,52.02,intraday,725.7
2024-01-04 23:00:00,NO1,21.79,day_ahead,2924.14
2024-01-04 23:00:00,SE1,41.36,intraday,4354.16
