timestamp,market_zone,price_eur_mwh,market_type,volume_mwh
2024-01-14 00:00:00,FI,42.48,intraday,347.73
2024-01-14 00:00:00,FI,19.95,day_ahead,4142.26
2024-01-14 00:00:00,SE4,16.57,day_ahead,4215.49
2024-01-14 01:00:00,SE2,27.67,intraday,3339.58
2024-01-14 01:00:00,DK1,16.85,intraday,3149.86
2024-01-14 01:00:00,SE1,38.96,day_ahead,4289.52
2024-01-14 02:00:00,SE4,15.52,intraday,2754.03
2024-01-14 02:00:00,FI,39.68,intraday,3152.47
2024-01-14 02:00:00,DK2,35.23,day_ahead,4260.2
2024-01-14 03:00:00,DK1,51.78,day_ahead,1591.4
2024-01-14 03:00:00,NO1,18.44,intraday,3054.62
2024-01-14 04:00:00,DK1,21.13,intraday,4170.66
2024-01-14 04:00:00,NO1,16.09,day_ahead,2329.02
2024-01-14 05:00:00,NO2,35.25,day_ahead,2554.28
2024-01-14 05:00:00,DK1,53.78,intraday,291.46
2024-01-14 06:00:00,DK2,39.43,day_ahead,1953.82
2024-01-14 06:00:00,FI,43.24,intraday,2721.81
2024-01-14 06:00:00,FI,36.03,day_ahead,1247.17
2024-01-14 07:00:00,SE1,65.23,intraday,712.44
2024-01-14 07:00:00,NO1,67.5,intraday,991.56
2024-01-14 07:00:00,SE4,53.98,intraday,660.57
2024-01-14 08:00:00,NO2,53.56,day_ahead,1999.07
2024-01-14 08:00:00,SE1,38.8,intraday,278.02
2024-01-14 08:00:00,NO1,31.95,day_ahead,2070.86
2024-01-14 09:00:00,DK2,53.59,intraday,2664.49
2024-01-14 09:00:00,NO1,39.67,intraday,4587.82
2024-01-14 09:00:00,NO2,62.48,intraday,769.81
2024-01-14 10:00:00,SE4,45.99,intraday,2346.8
2024-01-14 10:00:00,NO2,38.84,intraday,1910.84
2024-01-14 11:00:00,FI,49.38,intraday,663.56
2024-01-14 11:00:00,SE2,48.14,intraday,4604.91
2024-01-14 12:00:00,SE1,61.65,intraday,2672.53
2024-01-14 12:00:00,FI,36.56,intraday,1417.09
2024-01-14 13:00:00,SE1,65.75,day_ahead,1641.61
2024-01-14 13:00:00,DK2,68.57,day_ahead,3106.05
2024-01-14 14:00:00,SE3,43.0,intraday,1185.79
2024-01-14 14:00:00,DK2,52.04,intraday,2850.01
2024-01-14 15:00:00,FI,59.97,day_ahead,1202.87
2024-01-14 15:00:00,NO1,31.04,intraday,615.92
2024-01-14 15:00:00,DK1,34.34,intraday,2089.32
2024-01-14 16:00:00,SE2,44.04,intraday,1780.28
2024-01-14 16:00:00,SE3,37.67,day_ahead,4067.52
2024-01-14 17:00:00,NO1,30.77,intraday,2351.56
2024-01-14 17:00:00,NO2,68.9,intraday,4671.0
2024-01-14 17:00:00,NO1,31.94,day_ahead,3204.97
2024-01-14 18:00:00,NO1,40.87,day_ahead,2842.96
2024-01-14 18:00:00,SE4,33.01,intraday,3278.31
2024-01-14 19:00:00,NO1,36.02,intraday,2418.62
2024-01-14 19:00:00,NO1,43.63,day_ahead,1410.46
2024-01-14 20:00:00,SE3,55.03,intraday,3351.18
2024-01-14 20:00:00,SE1,66.27,intraday,4512.62
2024-01-14 20:00:00,FI,43.27,intraday,3907.11
2024-01-14 21:00:00,SE3,49.02,intraday,3211.81
2024-01-14 21:00:00,SE3,58.48,day_ahead,3915.8
2024-01-14 21:00:00,SE4,39.95,day_ahead,1416.87
2024-01-14 22:00:00,SE2,60.14,intraday,1689.7
2024-01-14 22:00:00,NO1,50.92,day_ahead,3450.15
2024-01-14 23:00:00,SE1,34.95,day_ahead,4954.49
2024-01-14 23:00:00,SE4,23.02,day_ahead,1461.2
