timestamp,region,temperature_celsius,wind_speed_ms,cloud_cover_percent,precipitation_mm
2024-01-09 00:00:00,Aarhus,-8.8,17.8,20.8,4.2
2024-01-09 00:00:00,Helsinki,2.0,14.8,66.7,0.5
2024-01-09 00:00:00,Tampere,-4.0,3.4,54.5,2.6
2024-01-09 01:00:00,Stockholm,-0.6,4.3,15.9,0.7
2024-01-09 01:00:00,Bergen,3.7,11.1,83.6,1.1
2024-01-09 01:00:00,Turku,-9.7,11.4,49.1,1.8
2024-01-09 01:00:00,Uppsala,2.5,14.4,65.8,3.5
2024-01-09 02:00:00,Malmo,4.7,17.7,56.9,3.0
2024-01-09 02:00:00,Copenhagen,-2.5,16.1,25.4,4.1
2024-01-09 02:00:00,Malmo,-8.9,6.3,24.3,4.5
2024-01-09 02:00:00,Helsinki,-6.2,4.9,71.4,2.8
2024-01-09 03:00:00,Uppsala,-5.5,3.6,77.0,3.7
2024-01-09 03:00:00,Copenhagen,4.0,13.6,45.3,4.3
2024-01-09 03:00:00,Helsinki,-1.5,6.1,68.6,2.6
2024-01-09 04:00:00,Gothenburg,0.7,8.7,71.4,0.2
2024-01-09 04:00:00,Stockholm,-2.9,4.3,71.2,3.5
2024-01-09 04:00:00,Oslo,-8.5,16.7,67.8,1.7
2024-01-09 04:00:00,Stockholm,-7.6,4.1,25.2,1.5
2024-01-09 05:00:00,Helsinki,3.4,8.7,52.4,0.3
2024-01-09 05:00:00,Uppsala,-9.4,17.0,32.9,4.4
2024-01-09 05:00:00,Turku,0.1,13.1,18.4,2.1
2024-01-09 06:00:00,Stockholm,3.4,11.8,16.1,1.5
2024-01-09 06:00:00,Malmo,2.0,9.5,80.1,0.7
2024-01-09 06:00:00,Oslo,0.0,9.3,12.5,4.3
2024-01-09 07:00:00,Stockholm,-5.9,2.9,13.7,1.2
2024-01-09 07:00:00,Malmo,-8.9,14.7,79.4,0.3
2024-01-09 07:00:00,Stockholm,-0.3,8.7,55.8,1.5
2024-01-09 08:00:00,Malmo,-9.1,8.9,75.3,2.2
2024-01-09 08:00:00,Tampere,-1.3,8.4,36.7,0.8
2024-01-09 08:00:00,Stockholm,-7.8,7.1,90.9,0.2
2024-01-09 09:00:00,Bergen,-9.7,3.7,63.8,2.7
2024-01-09 09:00:00,Aarhus,2.6,13.4,68.9,3.7
2024-01-09 09:00:00,Helsinki,-4.5,17.2,71.6,0.9
2024-01-09 10:00:00,Stockholm,4.2,2.4,49.6,0.1
2024-01-09 10:00:00,Malmo,-9.4,12.6,31.4,1.5
2024-01-09 10:00:00,Gothenburg,-1.7,13.6,70.7,1.7
2024-01-09 11:00:00,Bergen,-7.5,11.3,54.1,1.0
2024-01-09 11:00:00,Bergen,-3.4,13.0,83.7,3.0
2024-01-09 11:00:00,Copenhagen,3.2,5.9,31.3,4.6
2024-01-09 11:00:00,Uppsala,-4.4,12.8,36.6,3.9
2024-01-09 12:00:00,Aarhus,-4.2,16.5,58.8,1.9
2024-01-09 12:00:00,Turku,3.3,12.4,26.9,0.6
2024-01-09 12:00:00,Stockholm,-1.2,16.8,71.8,0.5
