timestamp,region,temperature_celsius,wind_speed_ms,cloud_cover_percent,precipitation_mm
2024-01-15 00:00:00,Oslo,-7.9,2.8,39.6,0.0
2024-01-15 00:00:00,Turku,-7.5,17.5,42.4,3.7
2024-01-15 00:00:00,Malmo,-8.4,14.2,64.0,4.5
2024-01-15 00:00:00,Gothenburg,0.6,4.9,65.2,0.2
2024-01-15 01:00:00,Aarhus,4.3,14.4,58.8,2.6
2024-01-15 01:00:00,Copenhagen,-3.7,12.6,46.2,2.4
2024-01-15 01:00:00,Aarhus,-8.4,6.1,36.8,2.4
2024-01-15 01:00:00,Malmo,2.2,17.3,79.7,2.8
2024-01-15 02:00:00,Turku,4.7,4.9,58.9,4.5
2024-01-15 02:00:00,Tampere,2.7,13.5,67.9,3.8
2024-01-15 02:00:00,Aarhus,-4.6,3.2,12.9,1.7
2024-01-15 02:00:00,Aarhus,-1.5,2.2,14.6,3.1
2024-01-15 03:00:00,Uppsala,-4.3,2.3,63.1,2.9
2024-01-15 03:00:00,Turku,-3.7,17.8,88.1,2.1
2024-01-15 03:00:00,Uppsala,-6.4,16.9,60.1,2.2
2024-01-15 03:00:00,Malmo,0.7,8.7,70.5,4.5
2024-01-15 04:00:00,Tampere,-9.1,13.9,21.8,1.3
2024-01-15 04:00:00,Bergen,1.5,9.1,10.5,1.7
2024-01-15 04:00:00,Tampere,-6.9,15.6,80.1,0.6
2024-01-15 04:00:00,Gothenburg,-4.0,12.7,21.3,1.8
2024-01-15 05:00:00,Stockholm,1.1,12.6,66.6,3.7
2024-01-15 05:00:00,Bergen,-4.0,5.3,37.1,2.0
2024-01-15 05:00:00,Tampere,-6.0,16.8,79.0,3.1
2024-01-15 06:00:00,Uppsala,-0.1,7.6,25.5,2.8
2024-01-15 06:00:00,Bergen,-8.4,14.0,62.4,1.3
2024-01-15 06:00:00,Oslo,-2.3,10.0,20.9,0.9
2024-01-15 07:00:00,Bergen,2.4,11.1,51.6,3.0
2024-01-15 07:00:00,Gothenburg,-5.4,8.2,16.3,1.2
2024-01-15 07:00:00,Oslo,-6.1,6.2,45.0,3.4
2024-01-15 08:00:00,Tampere,-9.7,14.7,54.3,2.0
2024-01-15 08:00:00,Oslo,2.5,11.5,22.4,0.1
2024-01-15 08:00:00,Uppsala,2.3,2.1,24.9,3.4
2024-01-15 08:00:00,Turku,-6.9,14.5,49.2,3.4
2024-01-15 09:00:00,Uppsala,-4.2,7.6,14.6,2.6
2024-01-15 09:00:00,Bergen,-8.0,8.3,28.8,2.7
2024-01-15 09:00:00,Malmo,-9.7,9.3,43.5,4.0
2024-01-15 09:00:00,Malmo,0.7,10.8,27.9,0.2
2024-01-15 10:00:00,Oslo,1.6,16.1,26.5,3.3
2024-01-15 10:00:00,Turku,-2.6,12.6,50.2,3.5
2024-01-15 10:00:00,Stockholm,1.1,5.1,81.5,4.4
2024-01-15 10:00:00,Malmo,-5.4,5.7,36.8,3.4
2024-01-15 11:00:00,Aarhus,-9.8,4.1,27.0,3.4
2024-01-15 11:00:00,Bergen,1.2,11.1,69.6,1.2
2024-01-15 11:00:00,Malmo,-5.0,15.1,13.0,4.5
2024-01-15 11:00:00,Aarhus,-8.0,13.7,71.3,4.0
2024-01-15 12:00:00,Stockholm,-2.5,5.8,42.4,0.7
2024-01-15 12:00:00,Bergen,-8.9,15.8,45.0,3.4
2024-01-15 12:00:00,Tampere,-2.1,9.4,71.7,1.5
2024-01-15 12:00:00,Tampere,-1.4,14.4,58.9,3.1
2024-01-15 13:00:00,Malmo,-4.4,4.5,47.1,1.8
2024-01-15 13:00:00,Helsinki,-3.7,9.5,92.2,3.3
2024-01-15 13:00:00,Gothenburg,-8.7,8.6,83.8,3.4
2024-01-15 13:00:00,Copenhagen,-9.3,14.5,89.4,1.6
2024-01-15 14:00:00,Uppsala,3.0,4.0,47.5,0.2
2024-01-15 14:00:00,Uppsala,-8.1,16.9,75.6,1.1
2024-01-15 14:00:00,Copenhagen,2.7,4.9,65.4,2.5
2024-01-15 15:00:00,Tampere,-9.7,13.3,92.9,3.1
2024-01-15 15:00:00,Aarhus,-3.8,10.3,10.8,0.6
2024-01-15 15:00:00,Gothenburg,-7.8,15.9,46.1,0.4
2024-01-15 16:00:00,Uppsala,-2.7,10.5,77.4,1.5
2024-01-15 16:00:00,Oslo,-8.8,17.6,68.4,2.5
2024-01-15 16:00:00,Aarhus,-9.8,6.5,49.5,2.7
2024-01-15 17:00:00,Malmo,-4.9,8.1,44.0,2.5
2024-01-15 17:00:00,Bergen,-6.4,10.1,80.7,4.5
2024-01-15 17:00:00,Oslo,1.5,15.4,20.1,1.9
2024-01-15 17:00:00,Oslo,-2.1,17.1,17.6,3.5
2024-01-15 18:00:00,Helsinki,-5.4,15.5,89.7,2.2
2024-01-15 18:00:00,Aarhus,-7.9,15.2,13.2,4.2
2024-01-15 18:00:00,Aarhus,0.4,13.3,31.1,1.9
2024-01-15 18:00:00,Aarhus,-4.4,8.7,57.3,1.3
2024-01-15 19:00:00,Bergen,-2.3,13.0,90.7,3.7
2024-01-15 19:00:00,Copenhagen,-5.0,2.1,50.7,0.1
2024-01-15 19:00:00,Bergen,1.9,16.0,36.9,3.1
2024-01-15 19:00:00,Turku,-7.2,13.2,70.2,1.1
2024-01-15 20:00:00,Stockholm,-9.7,5.9,59.9,0.6
2024-01-15 20:00:00,Helsinki,-1.9,16.4,71.3,3.5
2024-01-15 20:00:00,Tampere,-9.1,3.5,77.7,1.4
2024-01-15 20:00:00,Gothenburg,-9.0,12.3,66.5,0.6
2024-01-15 21:00:00,Turku,1.1,8.0,41.5,4.1
2024-01-15 21:00:00,Copenhagen,0.5,6.8,30.8,3.0
2024-01-15 21:00:00,Uppsala,1.2,6.4,57.6,3.3
2024-01-15 22:00:00,Bergen,-8.2,9.0,68.3,3.8
2024-01-15 22:00:00,Bergen,-1.4,3.2,34.9,3.2
2024-01-15 22:00:00,Turku,-3.6,12.5,61.3,1.8
2024-01-15 23:00:00,Gothenburg,1.5,4.4,15.4,1.5
2024-01-15 23:00:00,Helsinki,-3.6,6.9,36.5,3.0
2024-01-15 23:00:00,Turku,-2.8,2.6,40.5,4.5
2024-01-15 23:00:00,Gothenburg,3.5,15.2,24.8,0.9
