event_id,timestamp,event_type,substation_id,region,duration_minutes,affected_customers,severity
EVT001095,2024-01-10 14:29:00,weather_damage,SUB231,Gothenburg,66,3490,critical
EVT001096,2024-01-10 08:16:00,voltage_fluctuation,SUB917,Aarhus,108,1564,high
EVT001097,2024-01-10 14:16:00,equipment_failure,SUB517,Aarhus,74,1336,high
EVT001098,2024-01-10 19:41:00,planned_maintenance,SUB527,Tampere,189,594,high
EVT001099,2024-01-10 10:32:00,weather_damage,SUB152,Gothenburg,25,4499,critical
EVT001100,2024-01-10 18:39:00,unplanned_outage,SUB167,Stockholm,222,2628,critical
EVT001101,2024-01-10 20:00:00,voltage_fluctuation,SUB151,Gothenburg,55,1764,high
EVT001102,2024-01-10 09:17:00,overload,SUB226,Gothenburg,30,1941,high
EVT001103,2024-01-10 07:17:00,voltage_fluctuation,SUB191,Turku,108,4337,critical
EVT001104,2024-01-10 21:53:00,equipment_failure,SUB794,Bergen,83,3468,critical
EVT001105,2024-01-10 03:02:00,overload,SUB426,Copenhagen,37,2172,critical
EVT001106,2024-01-10 00:28:00,unplanned_outage,SUB938,Uppsala,54,4769,critical
EVT001107,2024-01-10 18:09:00,unplanned_outage,SUB904,Malmo,74,4717,critical
